Metabolon_Metabolite_ID,HARV_21560,HARV_21561,HARV_21562,HARV_21563,HARV_21564,HARV_21565,HARV_21566,HARV_21567,HARV_21568,HARV_21569,HARV_21570,HARV_21571,HARV_21572,HARV_21573,HARV_21574,HARV_21575,HARV_21576,HARV_21577,HARV_21578,HARV_21579,HARV_21580,HARV_21581,HARV_21582,HARV_21583,HARV_21584,HARV_21585,HARV_21586,HARV_21587,HARV_21588,HARV_21589,HARV_21590,HARV_21591,HARV_21592,HARV_21593,HARV_21594,HARV_21595,HARV_21596,HARV_21597,HARV_21598,HARV_21599,HARV_21600,HARV_21601,HARV_21602,HARV_21603,HARV_21604,HARV_21605,HARV_21606,HARV_21607
417,54434724,61998580,,70052112,3304935,74643624,59905996,2025496,76571584,37735620,40635108,,41015276,402936,37779344,43414184,400774,75253504,70472520,1321872,47156140,76242064,1194338,75107456,60607148,,,1800781,61229832,3688494,1443498,70618192,1333770,40991720,,,472919,58447272,210417,337950,59168724,368302,1616993,72031648,1097292,1651203,80276192,1137900
4113,,,,316840,7813528,368666,308617,10501517,195880,,,,,,,,,,,886677,,,742136,,,,,10199645,171912,7955185,9745134,278358,8440320,,,,,,,,,,1235147,122816,670780,848567,74332,1485795
1848,277060,273657,,1678304,1416839,1614193,1131240,1272663,1856584,107942,752048,,569561,1067594,766986,,494077,519090,1348747,962276,779984,1123886,1408832,815733,568773,,,1453808,1104272,1177363,1336972,1795561,1321809,,,,561390,,174793,227932,615301,289529,1283643,1634923,1225797,1159294,1116262,997794
453,1070113,930181,,6257819,9517653,5177520,5813519,10613323,5907822,,,,475559,1599346,,,1515601,,6098846,10029290,5718016,6796031,8457671,6219695,526720,,,9967538,5224588,10717119,10356615,6393388,10401894,,,,2141068,,1116865,1488059,,1769299,10664290,8207299,9932712,9137380,6090879,7646777
1478,565410,398017,285507,534467,550468,514644,714570,407256,575533,417115,501880,359026,759420,460267,630884,532978,475400,500114,573492,587601,740198,645718,489453,700285,551653,337201,484358,572067,404103,547662,609020,694292,574925,416729,356332,546418,532366,474584,542602,513725,485886,198657,478919,595319,750356,496792,565788,574586
1365,9033697,7082433,4024783,11001756,10994813,9713064,10977733,11019388,14526292,6533905,4511267,4894947,7381691,6231209,5883033,5645161,6198178,7191714,7812825,10925492,7824077,7869565,8456245,8332243,9059776,4362244,3705484,11342036,9715768,10968310,11313553,10054383,12811874,4940877,4346992,4390829,7737508,5362967,6565993,7754272,6453787,7203463,10785090,8600041,9873001,9769624,9432378,9365767
4240,3022375,2674578,,2443624,102970,2627636,2770840,129818,2928223,2856595,2640499,,2763205,,2821771,2700771,27926,3207414,2837254,49775,3063571,2906506,51537,3171847,2969200,,,102052,2667366,99296,83481,2720757,117843,2430812,,,39409,2784384,,,3021783,34522,57391,3312493,35965,38564,3221090,44384
1283,5508372,4942595,10636429,3719398,14786033,3827470,3972853,16006201,4488045,19374176,4806493,3951304,6023165,5042854,6838205,4707597,4799485,6529952,3151597,8406732,3280922,3499380,7172156,3637772,6347774,10919513,10957350,13621608,3879049,16187951,14959611,3995652,15346382,5181114,3374402,3359806,5255355,4625747,4942476,4976326,4876509,5184359,7964867,3012178,7427749,6774723,3631769,6458919
114,270219872,307497120,,167067056,31454376,224027536,195866512,14149683,173057728,265782208,314956800,,241906160,11689482,277612768,242043520,10803309,241990400,209877120,16089750,193023824,208972864,54037680,244741536,235308864,,,4601983,112024488,5405464,5056327,142094832,10987411,205121968,,,9085378,140584448,6165530,8189643,234502640,17316324,24842656,188343488,20253148,21062028,129826400,28048126
1383,,81595,,704883,345211,643458,801482,397531,948927,,,,,,,,90852,115479,671318,1308602,635598,697901,505215,689491,91965,,,503724,831064,458351,449311,817533,610907,,,,105673,,85718,54963,106482,66755,547658,752841,753705,578355,699030,383092
